지방청,경찰서,관서명,구분,주소,파출소명,lat,lon
서울청,서울중부,을지,지구대,서울특별시 중구  을지로 234,을지지구대,37.566473428,127.003943650
서울청,서울중부,광희,지구대,서울특별시 중구  퇴계로 375-1,광희지구대,37.565271763,127.013376141
서울청,서울중부,약수,지구대,"서울특별시 중구  동호로 5길 15, 약수지구대",약수지구대,37.552148,127.0036499
서울청,서울중부,신당,파출소,"서울특별시 중구  다산로 248 (신당동, 신당파출소)",신당파출소,37.565044689,127.016384983
서울청,서울중부,장충,파출소,서울특별시 중구  동호로 261,장충파출소,37.558757809,127.004810479
서울청,서울중부,충무,파출소,서울특별시 중구  퇴계로 178,충무파출소,37.560871565,126.991580714
서울청,서울중부,을지로3가,파출소,서울특별시 중구 충무로56-1,을지로3가파출소,37.560951048,126.983204275
서울청,서울종로,종로2가,지구대,서울특별시 종로구  종로17길 4 종로2가파출소,종로2가지구대,37.570509605,126.988923724
서울청,서울종로,관수,파출소,서울특별시 종로구  삼일대로 386,관수파출소,37.568971786,126.988074439
서울청,서울종로,세검정,파출소,서울특별시 종로구  세검정로 226 ,세검정파출소,37.600021880,126.958463125
서울청,서울종로,평창,파출소,서울특별시 종로구  평창문화로 46,평창파출소,37.605254385,126.966625893
서울청,서울종로,삼청,파출소,서울특별시 종로구  삼청로 66,삼청파출소,37.581395409,126.981124626
서울청,서울종로,통의,파출소,서울특별시 종로구  효자로 9,통의파출소,37.576771168,126.974006866
서울청,서울종로,청운,파출소,서울특별시 종로구  자하문로 92-1,청운파출소,37.584229655,126.970584828
서울청,서울종로,옥인,파출소,서울특별시 종로구  자하문로17길 24,옥인파출소,37.581478441,126.969426333
서울청,서울종로,교남,파출소,서울특별시 종로구  송월길 167(교북동 10-38),교남파출소,37.5718673,126.9619666
서울청,서울종로,세종로,파출소,서울특별시 중구  세종대로 141,세종로파출소,37.568953426,126.976415423
서울청,서울종로,신문로,파출소,서울특별시 종로구  경희궁길 6-3,신문로파출소,37.570756231,126.972233930
서울청,서울종로,사직,파출소,서울특별시 종로구  사직로9길 1,사직파출소,37.576170035,126.968850798
서울청,서울종로,청진,파출소,서울특별시 종로구  삼봉로 33 청진파출소,청진파출소,37.572592670,126.979014685
서울청,서울남대문,태평로,파출소,서울특별시 중구  다동길 11,태평로파출소,37.568003410,126.979996307
서울청,서울남대문,서울역,파출소,서울특별시 중구  통일로 13,서울역파출소,37.556811889,126.971566149
서울청,서울남대문,명동,파출소,서울특별시 중구  명동길 30 명동파출소,명동파출소,37.563564984,126.983966342
서울청,서울남대문,남대문,파출소,서울특별시 중구  남대문시장4길 28-16,남대문파출소,37.559014252,126.976391467
서울청,서울남대문,중림,파출소,서울특별시 중구  중림로 36,중림파출소,37.557889458,126.967119753
서울청,서울남대문,회현,파출소,서울특별시 중구  퇴계로6길 3-10,회현파출소,37.558095100,126.978823117
서울청,서울남대문,서소문,파출소,서울특별시 중구  서소문로 131-1 서소문파출소,서소문파출소,37.563826668,126.975470652
서울청,서울서대문,충정로,지구대,서울특별시 서대문구  독립문로 25-1,충정로지구대,37.569900144,126.961092355
서울청,서울서대문,신촌,지구대,서울특별시 서대문구  신촌역로 22,신촌지구대,37.558561617,126.943013874
서울청,서울서대문,홍은,파출소,서울특별시 서대문구 세검정로1길 112,홍은파출소,37.595230584,126.946427684
서울청,서울서대문,연희,파출소,서울특별시 서대문구  연희로25길 73,연희파출소,37.570282016,126.932852796
서울청,서울서대문,남가좌,파출소,서울특별시 서대문구  가재울로4길 51,남가좌파출소,37.576037872,126.924039532
서울청,서울서대문,북가좌,파출소,서울특별시 서대문구  증가로 244,북가좌파출소,37.582992674,126.912877181
서울청,서울서대문,홍제,파출소,서울특별시 서대문구  통일로 441-1,홍제파출소,37.588171658,126.944554082
서울청,서울서대문,홍은2,파출소,서울특별시 서대문구  연희로 298,홍은2파출소,37.583605522,126.936211115
서울청,서울혜화,혜화,파출소,서울특별시 종로구  창경궁로 279 ,혜화파출소,37.586099478,127.001404345
서울청,서울혜화,대학로,파출소,서울특별시 종로구  이화장2길 33,대학로파출소,37.578616147,127.006043421
서울청,서울혜화,명륜,파출소,서울특별시 종로구  성균관로 78,명륜파출소,37.589278766,126.997599148
서울청,서울혜화,창신,파출소,서울특별시 종로구  지봉로13길 20-12,창신파출소,37.578493567,127.013541974
서울청,서울혜화,동묘,파출소,서울특별시 종로구  종로58가길 19 동묘파출소,동묘파출소,37.572696461,127.017117407
서울청,서울혜화,덕산,파출소,서울특별시 종로구  창신길 98,덕산파출소,37.575985697,127.010526687
서울청,서울혜화,종로5가,파출소,서울특별시 종로구  동호로 407,종로5가파출소,37.570757357,127.001619971
서울청,서울혜화,효제,파출소,서울특별시 종로구  종로41나길 24-6,효제파출소,37.572950635,127.004867268
서울청,서울용산,원효,지구대,서울특별시 용산구  백범로 329,원효지구대,37.538478632,126.966447915
