역사명,역위도,역경도,geometry
염창역,37.54870054,126.87458970000002,POINT (126.8745897 37.54870054)
4.19민주묘지역,37.65220299,127.0135366,POINT (127.0135366 37.65220299)
가락시장역,37.492844355,127.11798685,POINT (127.11798685 37.492844355)
가산디지털단지역,37.48139288,126.8826048,POINT (126.8826048 37.48139288)
가양역,37.56317616,126.8544368,POINT (126.8544368 37.56317616)
가오리역,37.64164394,127.0167993,POINT (127.0167993 37.64164394)
가좌역,37.568611,126.914841,POINT (126.914841 37.568611)
강남구청역,37.51716021,127.0412189,POINT (127.0412189 37.51716021)
강남역,37.49720244,127.0280537,POINT (127.0280537 37.49720244)
강동구청역,37.53047081,127.1202691,POINT (127.1202691 37.53047081)
강동역,37.53587886,127.132079,POINT (127.132079 37.53587886)
강변역,37.53487706,127.0946944,POINT (127.0946944 37.53487706)
개롱역,37.49782678,127.1348328,POINT (127.1348328 37.49782678)
개봉역,37.494698,126.858504,POINT (126.858504 37.494698)
개포동역,37.489112,127.066027,POINT (127.066027 37.489112)
개화산역,37.57231242,126.8062885,POINT (126.8062885 37.57231242)
개화역,37.57858301,126.797482,POINT (126.797482 37.57858301)
거여역,37.49316744,127.1436672,POINT (127.1436672 37.49316744)
건대입구역,37.54060889,127.0699628,POINT (127.0699628 37.54060889)
경복궁역,37.57560542,126.9734832,POINT (126.9734832 37.57560542)
경찰병원역,37.49576539,127.1242996,POINT (127.1242996 37.49576539)
고덕역,37.55503473,127.1540785,POINT (127.1540785 37.55503473)
고려대역,37.59033908,127.0358642,POINT (127.0358642 37.59033908)
고속터미널역,37.50491566666667,127.00460699999998,POINT (127.004607 37.50491566666667)
공덕역,37.54342785333333,126.9517967,POINT (126.9517967 37.54342785333333)
공릉역,37.62551321,127.0728236,POINT (127.0728236 37.62551321)
공항시장역,37.56255361,126.8086858,POINT (126.8086858 37.56255361)
광나루역,37.5450481,127.1035121,POINT (127.1035121 37.5450481)
광운대역,37.623635,127.061975,POINT (127.061975 37.623635)
광화문역,37.5708165,126.9762129,POINT (126.9762129 37.5708165)
광흥창역,37.54746977,126.9318177,POINT (126.9318177 37.54746977)
교대역,37.49320061,127.0141237,POINT (127.0141237 37.49320061)
구로디지털단지역,37.48516215,126.9014847,POINT (126.9014847 37.48516215)
구로역,37.503178000000005,126.882037,POINT (126.882037 37.50317800000001)
구룡역,37.486985,127.059496,POINT (127.059496 37.486985)
구반포역,37.50160121,126.9874699,POINT (126.9874699 37.50160121)
구산역,37.61125852,126.9171923,POINT (126.9171923 37.61125852)
구의역,37.53691864,127.0857297,POINT (127.0857297 37.53691864)
구일역,37.496273,126.869599,POINT (126.869599 37.496273)
구파발역,37.63664912,126.9187832,POINT (126.9187832 37.63664912)
국회의사당역,37.52833218,126.9178745,POINT (126.9178745 37.52833218)
군자역,37.55713392,127.079433,POINT (127.079433 37.55713392)
굽은다리역,37.54537927,127.1428116,POINT (127.1428116 37.54537927)
금천구청역,37.45576,126.894344,POINT (126.894344 37.45576)
금호역,37.54800401,127.0156615,POINT (127.0156615 37.54800401)
길동역,37.53794494,127.1400433,POINT (127.1400433 37.53794494)
길음역,37.6035085,127.0249611,POINT (127.0249611 37.6035085)
김포공항역,37.56229767000001,126.8017107,POINT (126.8017107 37.56229767000001)
까치산역,37.53168373,126.8467432,POINT (126.8467432 37.53168373)
낙성대역,37.47692607,126.96360020000002,POINT (126.9636002 37.47692607)
남구로역,37.48613283,126.8873355,POINT (126.8873355 37.48613283)
남부터미널역,37.48482472,127.0161898,POINT (127.0161898 37.48482472)
남성역,37.48453469,126.9712351,POINT (126.9712351 37.48453469)
남영역,37.540597,126.971171,POINT (126.971171 37.540597)
남태령역,37.46424858,126.9888363,POINT (126.9888363 37.46424858)
내방역,37.48751179999999,126.9932223,POINT (126.9932223 37.48751179999999)
노들역,37.51300509,126.95408190000002,POINT (126.9540819 37.51300509)
노량진역,37.514072,126.941671,POINT (126.941671 37.514072)
노원역,37.65505483,127.06225005,POINT (127.06225005 37.65505483)
녹번역,37.60085525,126.935753,POINT (126.935753 37.60085525)
녹사평역,37.53464201,126.9867518,POINT (126.9867518 37.53464201)
녹천역,37.644599,127.051406,POINT (127.051406 37.644599)
논현역,37.51118691,127.0212831,POINT (127.0212831 37.51118691)
답십리역,37.56690598,127.0524701,POINT (127.0524701 37.56690598)
당고개역,37.67032572,127.0789555,POINT (127.0789555 37.67032572)
당산역,37.53425753,126.9024241,POINT (126.9024241 37.53425753)
대림역,37.49307207,126.8958105,POINT (126.8958105 37.49307207)
대모산입구역,37.491347,127.072702,POINT (127.072702 37.491347)
대방역,37.513392,126.926407,POINT (126.926407 37.513392)
대청역,37.49346096,127.079515,POINT (127.079515 37.49346096)
대치역,37.4942795,127.0632665,POINT (127.0632665 37.4942795)
대흥역,37.54766489,126.9422206,POINT (126.9422206 37.54766489)
도곡역,37.49086962,127.0553707,POINT (127.0553707 37.49086962)
도림천역,37.51420522,126.8827022,POINT (126.8827022 37.51420522)
도봉산역,37.68941744,127.04622375,POINT (127.04622375 37.68941744)
도봉역,37.679441,127.045521,POINT (127.045521 37.679441)
독립문역,37.57448506,126.9578508,POINT (126.9578508 37.57448506)
독바위역,37.61844071,126.93299609999998,POINT (126.9329961 37.61844071)
독산역,37.465994,126.889508,POINT (126.889508 37.465994)
돌곶이역,37.61052771,127.0564482,POINT (127.0564482 37.61052771)
동대문역,37.57109132,127.0101189,POINT (127.0101189 37.57109132)
동대문역사문화공원역,37.56505303,127.00724326666666,POINT (127.0072432666667 37.56505303)
동대입구역,37.55883276,127.0052813,POINT (127.0052813 37.55883276)
동묘앞역,37.57239886,127.0157332,POINT (127.0157332 37.57239886)
동작역,37.50300413,126.97902240000002,POINT (126.9790224 37.50300413)
둔촌동역,37.52774726,127.136296,POINT (127.136296 37.52774726)
둔촌오륜역,37.51797547,127.1401702,POINT (127.1401702 37.51797547)
등촌역,37.55138598,126.86449170000002,POINT (126.8644917 37.55138598)
디지털미디어시티역,37.577297130000005,126.90005275,POINT (126.90005275 37.57729713000001)
뚝섬역,37.54712239,127.0473648,POINT (127.0473648 37.54712239)
뚝섬유원지역,37.53125616,127.0666673,POINT (127.0666673 37.53125616)
마곡나루역,37.56693232,126.8273292,POINT (126.8273292 37.56693232)
마곡역,37.56025035,126.8248665,POINT (126.8248665 37.56025035)
마들역,37.66516233,127.0573337,POINT (127.0573337 37.66516233)
마장역,37.56620675,127.0429769,POINT (127.0429769 37.56620675)
마천역,37.49495884,127.152476,POINT (127.152476 37.49495884)
마포구청역,37.56350657,126.9031935,POINT (126.9031935 37.56350657)
