연번,지방청,경찰서,관서명,지역파출소,치안센터명,주소,lon,lat,geometry
1,서울청,서울중부,약수,지구대,다산치안센터,서울 중구 동호로 14길 18,127.010837980,37.556386388,POINT (127.01083798 37.556386388)
2,서울청,서울중부,을지,지구대,DDP치안센터,서울 중구 을지로 281,127.011353117,37.567657724,POINT (127.011353117 37.567657724)
3,서울청,서울중부,을지로3,파출소,충4치안센터,서울 중구 충무로2길 39,126.995358728,37.562399439,POINT (126.995358728 37.562399439)
4,서울청,서울종로,평창,파출소,구기치안센터,서울 종로구 비봉길 13,126.956415271,37.609566945,POINT (126.956415271 37.609566945)
5,서울청,서울서대문,충정로,지구대,북아현치안센터,서울 서대문구 북아현로 59-1번지,126.955374777,37.562460455,POINT (126.955374777 37.562460455)
6,서울청,서울서대문,신촌,지구대,신촌치안센터,서울 서대문구 신촌로 105번지,126.937659938,37.555595019,POINT (126.937659938 37.555595019)
7,서울청,서울혜화,종로5가,파출소,종로3가치안센터,서울 종로구 돈화문로 28,126.992346415,37.571285767,POINT (126.992346415 37.571285767)
8,서울청,서울용산,원효,지구대,청파치안센터,서울 용산구 청파로 274-2,126.970902546,37.544091976,POINT (126.970902546 37.544091976)
9,서울청,서울용산,용중,지구대,남영치안센터,서울 용산구 한강대로 102길11-5,126.9721088,37.5501909,POINT (126.9721088 37.5501909)
10,서울청,서울용산,용중,지구대,용산치안센터,서울 용산구 신흥로 90,126.985568267,37.546112855,POINT (126.985568267 37.546112855)
11,서울청,서울용산,한남,파출소,한남2치안센터,서울 용산구 이태원로 281,127.001531839,37.539778987,POINT (127.001531839 37.539778987)
12,서울청,서울용산,한강로,지구대,이촌치안센터,서울 용산구 이촌로71길 24,126.973329379,37.521357101,POINT (126.973329379 37.521357101)
13,서울청,서울성북,돈암,지구대,돈암치안센터,서울 성북구 성북로 4길 52,127.012701337,37.594477313,POINT (127.012701337 37.594477313)
14,서울청,서울성북,안암,지구대,보문치안센터,서울 성북구 보문로 13길 27,127.020544238,37.579676887,POINT (127.020544238 37.579676887)
15,서울청,서울성북,안암,지구대,삼선치안센터,서울 성북구 보문로29길 92,127.013487723,37.586207629,POINT (127.013487723 37.586207629)
16,서울청,서울성북,길음,지구대,길음1치안센터,서울 성북구 정릉로 31길 30 ,127.015363962,37.603893068,POINT (127.015363962 37.603893068)
17,서울청,서울성북,길음,지구대,정릉1치안센터,서울 성북구 동소문로 258,127.025001201,37.603882985,POINT (127.025001201 37.603882985)
