자치구,안심 주소,CCTV 용도,WGS x좌표,WGS y좌표,CCTV 수량,수정 일시
중랑구,서울특별시 중랑구 중화동 중랑역로15길 22 ,방범,37.59770203,127.0747986,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로58길 55 월드아파트,방범,37.59598049,127.094987,4,2021-01-12
중랑구,서울특별시 중랑구 상봉동 동일로120길 79 ,방범,37.59765244,127.0844498,1,2021-01-12
중랑구,서울특별시 중랑구 중화동 중랑역로 16 ,방범,37.59680939,127.0763779,1,2021-01-12
중랑구,서울특별시 중랑구 신내동 봉화산로 238 ,방범,37.60741043,127.0995865,4,2021-01-12
중랑구,서울특별시 중랑구 상봉동 봉화산로48길 62 건영아파트,방범,37.60349027,127.0939575,4,2021-01-12
중랑구,서울특별시 중랑구 상봉동 망우로55길 21 ,방범,37.59908368,127.0936859,1,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로70길 11 ,방범,37.59862137,127.1020889,4,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로66길 13 ,방범,37.59848266,127.0996369,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로74가길 3 ,방범,37.59890366,127.1045074,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 용마산로 248 ,방범,37.57525918,127.0880282,2,2021-01-12
중랑구,서울특별시 중랑구 망우동 용마산로 443 ,방범,37.5913006,127.0970897,2,2021-01-12
중랑구,서울특별시 중랑구 중화동 중랑천로 158 더갤러리,방범,37.59850693,127.0733795,1,2021-01-12
중랑구,서울특별시 중랑구 중화동 중랑역로3길 44 ,도심공원,37.59571075,127.0731735,4,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로76길 37 ,방범,37.59827713,127.1060599,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로84가길 4 ,방범,37.59194183,127.0886765,3,2021-01-12
중랑구,서울특별시 중랑구 상봉동 봉화산로 106 ,방범,37.60266179,127.0865344,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 봉우재로58길 38 혜원쉐르빌,도심공원,37.59218597,127.095108,4,2021-01-12
중랑구,서울특별시 광진구 중곡동 답십리로 374 ,방범,37.57154846,127.0822678,3,2021-01-12
중랑구,서울특별시 광진구 중곡동 답십리로 374 ,방범,37.57151298,127.0827117,2,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로124길 76 청호빌,방범,37.60026169,127.0829163,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로71길 36 ,방범,37.60102844,127.1033554,4,2021-01-12
중랑구,서울특별시 중랑구 망우동 용마공원로 7 ,방범,37.59535255,127.1016029,2,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로 261 ,방범,37.57680212,127.0856891,1,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로143길 19 제일프라자,방범,37.60578918,127.0777435,2,2021-01-12
